Dishes & Customizations Breakdown,Type,item_id,Category,Is_Drink,Is_Dessert,Is_Cold,Is_Signature
black sugar boba fresh milk,dish,black sugar boba fresh milk,fresh milk,1,0,0.5,0
black sugar boba milk tea,dish,black sugar boba milk tea,milk teas,1,0,0.5,0
black sugar boba milky shaved ice,dish,black sugar boba milky shaved ice,shaved ice,0,1,1.0,0
black tea,dish,black tea,teas,1,0,0.5,0
boba milk tea,dish,boba milk tea,milk teas,1,0,0.5,0
caramel pudding w boba,dish,caramel pudding w boba,small bites,0,1,0.5,0
coco sago drink,dish,coco sago drink,coco sago,1,0,0.5,0
cold coco sago c,dish,cold coco sago c,coco sago,0,1,1.0,0
cold purple rice soup signature,dish,cold purple rice soup signature,our signature series,0,1,1.0,1
double taro signature,dish,double taro signature,our signature series,0,1,0.5,1
fluffy green tea,dish,fluffy green tea,fluffy series,1,0,0.5,0
fluffy ube smoothie,dish,fluffy ube smoothie,ube series,1,0,0.5,0
fresh milk & grass jelly herbal tea,dish,fresh milk & grass jelly herbal tea,herbal teas,1,0,0.5,0
fresh milk black w. taro paste (1 scoop),dish,fresh milk black w. taro paste,fresh milk,1,0,0.5,0
fresh milk green tea w. taro paste (1 scoop),dish,fresh milk green tea w. taro paste,fresh milk,1,0,0.5,0
fresh milk oolong tea w. boba,dish,fresh milk oolong tea w. boba,fresh milk,1,0,0.5,0
fresh milk winter melon tea,dish,fresh milk winter melon tea,winter melon teas,1,0,0.5,0
grass jelly winter melon tea,dish,grass jelly winter melon tea,winter melon teas,1,0,0.5,0
green tea,dish,green tea,teas,1,0,0.5,0
herbal tea,dish,herbal tea,herbal teas,1,0,0.5,0
hot almond soup c (taro balls & almond flakes & almond soup & melon jelly & rice balls & boba),dish,hot almond soup c (taro balls & almond flakes & almond soup & melon jelly & rice balls & boba),hot almond drink,0,1,1.0,0
hot almond soup signature,dish,hot almond soup signature,our signature series,0,1,0.0,1
hot almond soup w tofu pudding,dish,hot almond soup w tofu pudding,tofu pudding,0,1,0.0,0
hot grass jelly a (grass jelly soup & mini taro balls & red beans & peanuts & boba),dish,hot grass jelly a (grass jelly soup & mini taro balls & red beans & peanuts & boba),hot grass jelly soup series,0,1,0.0,0
hot grass jelly soup,dish,hot grass jelly soup,create your own (base),0,1,0.0,0
hot grass jelly soup signature,dish,hot grass jelly soup signature,our signature series,0,1,0.0,1
hot mini taro balls almond drink,dish,hot mini taro balls almond drink,seasonal drink,1,0,0.0,0
hot purple rice soup signature,dish,hot purple rice soup signature,our signature series,0,1,1.0,1
hot red bean soup,dish,hot red bean soup,create your own (base),0,1,0.0,0
hot red bean soup b (taro balls & red bean soup & taro & red beans & boba),dish,hot red bean soup b (taro balls & red bean soup & taro & red beans & boba),hot red bean soup series,0,1,0.0,0
hot red bean soup signature,dish,hot red bean soup signature,our signature series,0,1,0.0,1
ice ube ball signature,dish,ice ube ball signature,ube series,0,1,1.0,1
icy grass jelly (1 slice),dish,icy grass jelly,create your own (base),0,1,1.0,0
icy grass jelly a (grass jelly & grass jelly shaved ice & red beans & peanuts & boba),dish,icy grass jelly a (grass jelly & grass jelly shaved ice & red beans & peanuts & boba),icy grass jelly series,0,1,1.0,0
icy grass jelly b (grass jelly & grass jelly shaved ice & red beans & taro & boba),dish,icy grass jelly b (grass jelly & grass jelly shaved ice & red beans & taro & boba),icy grass jelly series,0,1,1.0,0
icy grass jelly c (grass jelly & grass jelly shaved ice & melon jelly & rice balls & boba),dish,icy grass jelly c (grass jelly & grass jelly shaved ice & melon jelly & rice balls & boba),icy grass jelly series,0,1,1.0,0
icy grass jelly signature,dish,icy grass jelly signature,our signature series,0,1,1.0,1
icy taro ball a (taro balls & shaved ice & red beans & peanuts & boba),dish,icy taro ball a (taro balls & shaved ice & red beans & peanuts & boba),icey taro ball,0,1,1.0,0
icy taro ball b (taro balls & shaved ice & taro & red beans & boba),dish,icy taro ball b (taro balls & shaved ice & taro & red beans & boba),icey taro ball,0,1,1.0,0
icy taro ball signature,dish,icy taro ball signature,our signature series,0,1,1.0,1
icy taro ball c (taro balls & shaved ice & melon jelly & rice balls & boba),dish,icy taro balll c (taro balls & shaved ice & melon jelly & rice balls & boba),icey taro ball,0,1,1.0,0
jasmine milk tea,dish,jasmine milk tea,milk teas,1,0,0.5,0
lemon winter melon tea,dish,lemon winter melon tea,winter melon teas,1,0,0.5,0
mango & passion fruit green tea,dish,mango & passion fruit green tea,fruit series,1,0,0.5,0
mango green tea,dish,mango green tea,fruit series,1,0,0.5,0
mango milk shaved ice,dish,mango milk shaved ice,shaved ice,0,1,1.0,0
mangoberry milk shaved ice,dish,mangoberry milk shaved ice,shaved ice,0,1,1.0,0
mini q coco sago drink,dish,mini q coco sago drink,coco sago,1,0,0.5,0
mini taro ball tofu pudding,dish,mini taro ball tofu pudding,tofu pudding,0,1,0.5,0
mini taro balls milk tea,dish,mini taro balls milk tea,milk teas,1,0,0.5,0
mini taro balls purple rice fresh milk,dish,mini taro balls purple rice fresh milk,purple rice drink,1,0,1.0,0
mini taro balls winter melon tea,dish,mini taro balls winter melon tea,winter melon teas,1,0,0.5,0
mung bean cakes,dish,mung bean cakes,small bites,0,1,0.5,0
oolong milk tea,dish,oolong milk tea,milk teas,1,0,0.5,0
oolong tea,dish,oolong tea,teas,1,0,0.5,0
peanut tofu pudding,dish,peanut tofu pudding,tofu pudding,0,1,0.5,0
pudding & q mochi milk shaved ice,dish,pudding & q mochi milk shaved ice,shaved ice,0,1,1.0,0
pudding milk tea,dish,pudding milk tea,milk teas,1,0,0.5,0
q mochi milk shaved ice,dish,q mochi milk shaved ice,shaved ice,0,1,1.0,0
qq winter melon tea,dish,qq winter melon tea,winter melon teas,1,0,0.5,0
red bean milk shaved ice,dish,red bean milk shaved ice,shaved ice,0,1,1.0,0
red bean tofu pudding,dish,red bean tofu pudding,tofu pudding,0,1,0.5,0
sesame rice balls (topping),dish,sesame rice balls (topping),topping,0,1,1.0,0
strawberry milk shaved ice,dish,strawberry milk shaved ice,shaved ice,0,1,1.0,0
strawberry smoothie,dish,strawberry smoothie,slush series,1,0,0.5,0
sweet potato taro ball tofu pudding,dish,sweet potato taro ball tofu pudding,tofu pudding,0,1,0.5,0
sweet potato taro balls (topping),dish,sweet potato taro balls (topping),topping,0,1,0.5,0
taro ball tofu pudding,dish,taro ball tofu pudding,tofu pudding,0,1,0.5,0
